batiment_groupe_id,distance_batiment_historique_plus_proche
69266000BN0178_bc2d023cefdc31b,475
69266000BN0181_266b104169a3bdc,363
69266000BO0075_4ed4bc5bcff9ae6,405
69266000BP0033_353af17454c2d7d,367
69266000BS0086_afc970e5bc50e34,377
69278000AI0527_2f004a4b1f6ad18,402
69381000AD0034_fadd5c29ef45152,184
69381000AP0013_e1e663804e2daf5,452
69381000AP0098_13f9d93a2824f97,397
69381000AP0058_8f7f4f4af145940,119
69381000AP0010_465485dbc241370,293
69381000AP0169_7c37a0a412833a5,429
69381000AP0293_3cb8120e69c0869,360
69381000AR0142_7ffcf25c4208e5e,74
69381000AS0052_374d0014ce3f1f2,297
69381000AS0060_9a783bbfe3665ea,260
69381000AT0107_4fec2fbc349c610,398
69382000AD0019_4e94a143d419a30,407
69382000AE0080_b93e53ed2c348eb,475
69382000AK0014_4363e26e14e02ff,164
69382000AO0052_0cf46f3a991e623,143
69382000AO0053_c13744b75d6453b,461
69382000AP0013_eee88ff0db12558,253
69382000AS0040_53be592683365a8,420
69382000AS0051_37d0485303c5b80,496
69382000AS0052_b4c6cf8faf20c4d,106
69382000AV0043_09ed7448054be4e,244
69382000AX0038_daf0ee988861b67,484
69382000AZ0033_bc0aaef98d44bb5,494
69382000AZ0089_42180474350e8b4,339
69383000AH0138_b843e5f27235479,234
69383000BL0029_5a9a4745b240151,303
69383000AK0073_076283ff456fac3,96
69383000AL0023_f5b22339d2b4d89,497
69383000AC0047_153700e4014ddd7,313
69383000AL0091_e02a4fd7b401779,485
69383000AI0029_1f56df220bd3c03,470
69383000AN0050_014dcfd0d4dc12a,319
69383000AN0084_22b8a1824e5b8ba,368
69383000AP0029_0df97f643cdb011,334
69383000AO0124_d6cb0be803901f8,457
69383000AO0073_2caf6abdc26bb6e,242
69383000AP0051_52a38c8db2af51e,238
69383000AV0041_919629fae3a377d,460
69383000AV0011_8ef958d92f49239,469
69383000BC0100_c4c935647abc60d,476
69384000AO0092_53e7fc62c7e4dbf,291
69384000AP0050_e9a9bb9025a92c8,208
69384000AW0249_d058a19315533dc,427
69385000AE0082_02f07b389af28cb,374
69385000AE0088_81c97fb68720498,246
69385000AK0117_f559b1da1dbeac8,426
69385000AK0118_a16642909b79d00,200
69385000AL0025_c566e694e33c436,367
69385000AP0109_9dd5ce728a0928c,180
69385000AS0056_809f5e41382f063,12
69385000BY0004_2a80ef1d61ffcb6,263
69386000BE0004_e21c3341411de91,440
69386000AN0080_4baf1082c17fb6b,389
69386000AS0010_c4545fcc93829f6,356
69386000BD0032_b751bb72b6e3f33,342
69386000BE0078_8f960d03efd8060,325
69386000BK0071_0ff9ec7c68f6663,68
69386000BK0072_204a4a0f8c14b48,82
69386000BM0013_d1b589c1aa9545b,352
69387000AC0079_d08552cdb895bc5,432
69387000AD0046_c0a7d3a23608ba6,90
69387000AE0143_3bb824fdd1536bd,454
69387000AL0037_7d3e427a171e9cf,497
69387000AM0042_319732011be0210,383
69387000AM0016_049b88de3d9ed7b,304
69387000AM0102_5ab254e507a58ce,288
69387000AR0023_dc01e1d1054ba9c,38
69387000AW0030_dae1772229f2b46,287
69387000AX0079_6f00299886888cd,166
69387000BD0062_981abba496c2f48,461
69387000BK0036_b7d49c65520688a,415
69387000CD0010_81540c978af796c,260
69387000BK0301_340f4984c30538a,301
69388000AE0068_d37b8366fa30bc8,63
69388000AH0115_49c0f617cc7ab7c,328
69388000BI0123_8eec7c6f4e5541d,248
69388000BP0019_37ed480ea4eab1e,216
69389000BC0128_c444e7b1b67d54a,343
69389000BT0085_8daf7d77e36ff8a,444
69389000CE0036_498c83f7de5a1e5,303
uf690810206221_809a38f5585d0aa,467
uf693890154711_6fa0ef452f9f00e,399
69264000AB0117_9004bd28acc0b45,467
69264000AH0051_4df1c5cb4f6afa4,99
69266000CO0227_cd670d528127da2,410
69381000AB0026_860b15937a1679c,278
69381000AH0005_0cb8f991105c01a,345
69381000AP0291_633fd33ba4643e6,476
69382000AK0090_aded67131219fa8,315
69382000AS0016_fdca4b092625bff,476
69382000AK0008_71063bc01a8ef12,214
69383000AP0032_e9df1ffee18f430,366
69384000AV0030_d215c2e0eadcbb1,467
69384000AW0250_ca2066b3971ec52,394
69385000AE0089_586fde3d4f97592,304
69385000AP0029_7ff1c9848fb387f,466
69386000AK0018_050c9064be6204f,436
69386000AP0111_375e6db1bee9c28,371
69386000BD0050_0bd5d5bc8925397,266
69386000BD0156_1c27fb692f2af98,441
69386000BH0048_181e15257848c14,306
69387000AD0065_6d2659b9befd1ca,251
69387000AE0140_059540e6306b255,481
69387000AR0015_6dd6f3b6ca4d879,62
69387000BH0049_b4c0358d5d373cd,368
69388000AP0134_e0c320ae818dfa0,450
69388000BN0008_9708870b5c1b388,346
69386000AK0146_39a83179a7d0639,424
69027000BE0069_09816dc9cca3688,216
69034000AP0249_e928d869816e2d8,436
69149000AK0508_cbb22d597faa619,121
69149000AL0198_9dd28157b6e22db,458
69152000AL0477_86fc07438a50e59,104
69204000AS0206_7c22a10c5cfffc3,43
69244000AS0497_b19bd3dbbb6df06,287
69256000BR0559_5e8d3d0e40feef6,146
69259000AT0041_12bf2100bccfddf,162
69264000AC0478_34912d7d0c6aa65,470
69264000AH0053_0ff8266e86c8a1c,178
69264000AK0028_9ce67c8e671ce60,494
69264000AI0529_ed351a9083f10fe,405
69264000AK0350_2cfb9c23f446464,487
69264000AL0340_9de285daa701ddb,482
69264000AL0446_c3e6d0fadbc7856,337
69264000AN0413_aad267c33b1ffbb,456
69264000AP0024_5653614c1fd5720,246
69266000AT0285_a6abc74fb6dfd6f,394
69266000BN0180_5cd24167319319a,490
69266000BO0086_1e4c99946dbc2c8,264
69278000AI0523_ea9e1f301c04af7,459
69382000AL0015_a2a63f70c0bfc49,332
69382000AP0006_47b070850b985d9,334
69382000AZ0193_944d9ba1850dcd6,440
69383000AB0079_c598d57789f5ee3,344
69383000AO0064_563fd83d5fce81b,426
69383000AZ0223_dcee2b0cb9374f2,459
69383000AZ0215_3bca192ff774235,496
69383000DZ0087_f90f4f41736320c,356
69384000AD0161_aec1ee85fab4b80,300
69386000BE0123_3ae3ec650dcf9c9,454
69386000BM0131_93d16b9bfefc2d4,355
69387000AI0020_53ab43f92e5d016,451
69386000BL0037_f54ee6f0294b612,151
69387000BK0122_2a5fa71ab5e85ca,450
69388000AD0018_a0691fabc1b6383,120
69388000BN0022_7cb298a808359c7,483
uf692440117875_d604c112c8aa9bf,257
690810000D1027_952c55dd8cdc17f,411
69115000AB0117_4f0d0bfb2c29fb5,454
69149000AS0138_c48236f4ba5e51f,420
69204000AT0263_ab6d0d6e766839d,468
69204000AT0263_c12fb29787af65f,471
69244000AS0166_70d47492a680eaf,127
69244000AS0166_4c29b14681bfe59,384
69259000BL0102_698535325b3ec55,494
69264000AC0648_79b038fde4d63ef,409
69264000AC0648_6c454217500c1a4,416
69264000AC0703_0e547125d786325,416
69264000AL0202_b54758d1a6c7d4f,298
69264000AL0202_b1d4df1e34a7035,277
69264000AK0071_9e72701dd966f37,314
69264000AK0271_0811f83d4ca192f,397
69264000AK0271_1c13d88050e5a58,496
69264000AL0156_9aebe5dd2dbcfdc,497
69264000AN0035_35ce019b7354402,168
69264000AP0132_d8da3af3c518cdd,148
69264000AP0132_36ebc4c696de73b,142
69266000BL0323_774300a422d03de,432
69266000BL0323_65f37b1b1e08fb5,442
69266000BN0131_7ef0d8c1afb5caf,427
69266000BP0114_bd932724aeae303,455
69381000AB0031_2361d07ab590c69,404
69381000AB0031_54aa433244a2129,388
69381000AV0034_1d8f133447491d3,384
69381000AM0058_b03d0d5ee112a49,499
69383000BH0031_13416445677a530,444
69383000AZ0188_2f26bc04607278c,120
69383000BE0053_35bc971f4e22a80,489
69383000BE0053_e54456669479f57,410
69384000AI0022_78e82f504321044,394
69385000BR0003_77a87a4763225a1,489
69385000BR0003_3f9b243b193ff67,448
69386000AP0083_40d2ea8f6651bc2,391
69386000AP0083_bf2fa5fe1ebecb7,411
69387000AD0086_2c03c3738cde4db,196
69387000AL0081_cb8c27e38b9e382,384
69387000BI0127_6949bdc82e4aec2,447
69387000BI0127_585f40221e2d4b1,463
uf693880154264_f52a9b976cd0e90,388
uf693880154264_ce80eac62a5965d,386
uf693880154264_74a4f641196327e,407
uf693850251961_6f009ecb83a86dd,435
uf693850251961_f9d132ca8e8e345,442
69027000BE0889_9c0e38d4e349fb3,460
69034000AX0386_eacd0ed590b7d85,184
69034000AX0389_7e181542d82b4f5,379
69069000AI0053_8a8be8307f24208,420
690810000D1014_577ebff78e35934,289
69089000BZ0167_f9ad6fc3798c11d,236
69149000AK0004_c71328ffa49df35,167
69149000AL0033_0805a021178bf50,445
69202000AD0143_06bdc184282bb52,492
69202000AD0260_81b902857d5f17a,434
69202000AS0126_08cdbc0d9a499a7,385
69204000CB0019_78878591cdc50f5,472
69264000AC0748_f6d80e6f1fc926e,412
69264000AL0336_d47ef4ddf13ca43,290
69264000AL0211_ec04461acde3bf2,457
69264000AN0427_0a6f3d516c488ef,176
69264000AN0331_8d81124a8115316,231
69264000AN0366_f64b530a4a1bfb7,379
69266000BN0179_4490e6b68aa82d8,359
69275000AT0005_2c3bf9dee5eac12,188
69381000AO0160_c80b259dfbe1096,297
69382000AL0004_d5f73928bacac01,331
69382000AP0007_a9e5e3719b6f379,194
69382000AW0117_d1279a0ffb7f29f,221
69382000AZ0194_0ffe6a708cefdc4,358
69383000AE0124_5b83d411c7c0b97,343
69383000DT0043_08e37675756c830,468
69383000DY0023_d0cd677a8529a8b,457
69384000AO0054_52c7bd08c3478e7,476
69386000AK0098_c384a96d896f8f7,386
69386000AS0034_11751a39c3dc903,477
69386000AS0114_fb8a93e34b58ce0,394
69386000BD0004_35e4f532dcac881,495
69387000AI0016_d09253555097a84,404
69387000AZ0073_5f39153968b975f,454
69387000BK0290_9d58857ddda7f49,277
69387000BZ0144_586f2638ba3419f,144
69388000BI0221_0e1c6d1465169e8,297
69388000BN0097_fc8b24e632b0d76,302
69389000BS0062_b875b87c9cfb95b,420
uf690690034702_227d7a151bcc61a,410
uf693820152347_50ddfd71bcad815,431
