batiment_groupe_id,l_annee_construction,nb_log
69266000BB0076_cec492d0c1100c0,"[ ""2013"" ]",30.0
69266000BB0340_643166ada262041,"[ ""2008"" ]",105.0
69266000BE0086_1f94bc8264a9475,,20.0
69266000BH0117_e397a7997a035dd,"[ ""2003"" ]",12.5
69266000BL0067_6a92afbb49191ce,,13.0
69266000BL0028_7ef7d8617ee66fd,,12.0
69266000BL0014_da2201a47e5501f,,18.0
69266000BL0217_1360823642b0412,"[ ""1948"" ]",11.0
69266000BM0030_a84c2bf9a9c55f8,"[ ""1994"" ]",31.0
69266000BN0031_d95310b7b11dc5e,"[ ""1958"" ]",18.0
69266000BN0086_edb411d396b890d,"[ ""1976"" ]",58.0
69266000BN0178_bc2d023cefdc31b,"[ ""1963"" ]",15.3
69266000BN0181_266b104169a3bdc,"[ ""1940"", ""1959"" ]",13.92
69266000BN0231_d410416a49aac0e,"[ ""2015"" ]",24.0
69266000BO0075_4ed4bc5bcff9ae6,,14.0
69266000BP0033_353af17454c2d7d,"[ ""1976"" ]",16.0
69266000BS0086_afc970e5bc50e34,,24.0
69266000CL0042_27e8a32b3cacc0d,"[ ""1954"" ]",12.0
69266000CL0043_c56f18315ea02b6,"[ ""1954"" ]",12.0
69266000CL0095_5d84fa03624a790,"[ ""1991"" ]",12.0
69275000AZ0793_dbe75c6ca01ad5c,"[ ""2007"" ]",10.0
69278000AI0527_2f004a4b1f6ad18,"[ ""1998"" ]",12.0
69286000CB0206_b7d4790d6860ba2,"[ ""2002"" ]",18.0
69290000CW0459_d377508e23c28ee,"[ ""2012"" ]",10.5
69290000DY0378_2c390c4a900e586,"[ ""2015"" ]",7.4
69290000EH0232_ab948fe65e7b52d,"[ ""2016"" ]",17.0
69290000EH0231_669fb3036ee5985,"[ ""2016"" ]",17.0
69294000AM0049_8491b441f1a1234,"[ ""2008"" ]",10.0
69294000AO0041_5896f7210aba3ad,"[ ""2020"" ]",2.34
69294000AO0042_0c946b6267cf9c9,"[ ""2020"" ]",2.34
69381000AD0034_fadd5c29ef45152,"[ ""1953"" ]",8.0
69381000AP0013_e1e663804e2daf5,,14.0
69381000AP0098_13f9d93a2824f97,,9.92
69381000AP0058_8f7f4f4af145940,"[ ""1800"" ]",31.5
69381000AP0010_465485dbc241370,,13.0
69381000AP0169_7c37a0a412833a5,,8.0
69381000AP0293_3cb8120e69c0869,,21.08
69381000AR0142_7ffcf25c4208e5e,,53.0
69381000AS0052_374d0014ce3f1f2,,7.0
69381000AS0060_9a783bbfe3665ea,,10.0
69381000AT0107_4fec2fbc349c610,,24.0
69382000AD0019_4e94a143d419a30,"[ ""1949"" ]",6.0
69382000AE0080_b93e53ed2c348eb,"[ ""1840"" ]",11.0
69382000AK0014_4363e26e14e02ff,,6.0
69382000AO0052_0cf46f3a991e623,,3.0
69382000AO0053_c13744b75d6453b,,3.0
69382000AS0040_53be592683365a8,,38.0
69382000AV0043_09ed7448054be4e,"[ ""1946"" ]",56.0
69382000AZ0033_bc0aaef98d44bb5,,44.0
69382000BC0018_a7d0e73193bd862,"[ ""1961"" ]",27.0
69382000AZ0089_42180474350e8b4,"[ ""1996"", ""2016"" ]",152.0
69383000BL0029_5a9a4745b240151,,12.0
69383000AL0023_f5b22339d2b4d89,,16.0
69383000AC0047_153700e4014ddd7,"[ ""2001"" ]",12.0
