batiment_groupe_id,annee_construction,mat_toit_txt
69244000AP0262_37273a5fb0650c7,1960.0,TUILES
69244000AP0057_deba10cd0e7d949,1972.0,BETON
69244000AO0161_78ff1ff521db23a,1999.0,TUILES
69244000AS0166_70d47492a680eaf,1870.0,TUILES
69244000AS0497_b19bd3dbbb6df06,2005.0,
69244000AT0145_8e0532a0294c7ae,1967.0,BETON
69244000AT0145_d417ea6f81296e8,,
69256000AN0245_a37fbd96e56bdd8,,
69256000AP0004_8ce5f4f1b6f075e,2016.0,INDETERMINE
69256000AT0442_56ef69c136872ea,2012.0,AUTRES
69256000BD0250_fae668f5bb9ff5b,1999.0,BETON
69256000BO0388_0c52008e91710fe,2019.0,INDETERMINE
69256000BT0354_86ebd31b8084bd3,2008.0,AUTRES
69259000AM0061_84d8df14595c179,2011.0,
69259000AT0041_12bf2100bccfddf,1956.0,
69259000BL0102_8e9d0f7969aa60c,2003.0,
69259000BE0185_3766b1249ccc6a8,1962.0,TUILES
69259000BE0186_423ea5b19842aa1,2004.0,TUILES
69264000AB0278_c42122b1ffe1b38,2003.0,INDETERMINE
69264000AC0478_34912d7d0c6aa65,2004.0,INDETERMINE
69264000AC0703_0e547125d786325,2005.0,INDETERMINE
69264000AH0040_b9ee7f07a845d94,1840.0,TUILES
69264000AH0051_4df1c5cb4f6afa4,1500.0,INDETERMINE
69264000AH0054_d352bbfc5879b71,,INDETERMINE
69264000AH0452_35e96a2ea960b9f,1907.0,TUILES
69264000AK0373_b60f0fe21be7d0c,1898.0,TUILES
69264000AK0271_1c13d88050e5a58,1999.0,
69264000AL0160_463b4d5e5c43b5a,1981.0,
69264000AL0156_9aebe5dd2dbcfdc,1967.0,TUILES
69264000AL0159_96e69c1afdceee4,1978.0,
69264000AL0202_b1d4df1e34a7035,1971.0,
69264000AL0202_b54758d1a6c7d4f,,
69264000AL0211_ec04461acde3bf2,1985.0,TUILES - ZINC ALUMINIUM
69264000AL0336_d47ef4ddf13ca43,,
69264000AL0340_9de285daa701ddb,1997.0,INDETERMINE
69264000AN0116_7dfa703c73b8427,1860.0,
69264000AN0035_35ce019b7354402,1993.0,TUILES
69264000AN0036_f6d515a5d73e096,2010.0,
69264000AN0116_9477573cec1ec1a,1860.0,TUILES
69264000AN0331_8d81124a8115316,,INDETERMINE
69264000AN0427_0a6f3d516c488ef,1990.0,AUTRES
69264000AN0366_f64b530a4a1bfb7,1971.0,TUILES
69264000AP0024_5653614c1fd5720,2003.0,INDETERMINE
69264000AP0132_36ebc4c696de73b,,
69266000AN0144_d0bc6af65873e40,2016.0,INDETERMINE
69266000AT0285_a6abc74fb6dfd6f,1912.0,TUILES
69266000AW0303_469b9fe0f8d9977,1929.0,TUILES
69266000BA0050_a48bdae85375cd4,1952.0,TUILES
69266000BA0082_72b4db3c4b0b974,1979.0,TUILES
69266000BA0215_89a51175041b4d8,1968.0,INDETERMINE
69266000BB0100_ac2b384f840b864,2019.0,INDETERMINE
69266000BB0100_f47671b2a24b930,2019.0,INDETERMINE
69266000BC0245_aca187151f5c7cb,1963.0,TUILES
69266000BB0340_643166ada262041,2008.0,TUILES
69266000BC0268_515be6276c712b6,1920.0,TUILES
69266000BC0365_9c185808e6050ff,2016.0,INDETERMINE
69266000BC0359_9818ca1c4189e04,1958.0,TUILES
69266000BC0557_8f0c44aa67b2662,2005.0,TUILES
69266000BE0089_392b154505f1bd9,1900.0,TUILES
69266000BE0215_4ee95d639782d83,1959.0,TUILES
69266000BK0121_fbeef6de3374368,1958.0,TUILES
69266000BI0029_25aba98a64fb56a,1976.0,INDETERMINE
69266000BI0040_c70d63e83eb32a2,2015.0,
69266000BL0217_1360823642b0412,2002.0,TUILES
69266000BM0033_214ffae1c54a032,1958.0,TUILES
69266000BL0323_774300a422d03de,1920.0,TUILES - ZINC ALUMINIUM
69266000BM0125_2595a012feaaa1e,1997.0,TUILES
69266000BN0031_d95310b7b11dc5e,1960.0,BETON
69266000BN0086_edb411d396b890d,1977.0,
69266000BN0179_4490e6b68aa82d8,1900.0,TUILES
69266000BN0180_5cd24167319319a,2005.0,TUILES
69266000BN0181_266b104169a3bdc,1960.0,TUILES
69266000BN0231_d410416a49aac0e,2016.0,INDETERMINE
69266000BO0075_4ed4bc5bcff9ae6,1905.0,TUILES
69266000BS0086_afc970e5bc50e34,1958.0,TUILES
69266000CI0085_0197ce5ed42542c,2008.0,ZINC ALUMINIUM
69266000CL0042_27e8a32b3cacc0d,1956.0,TUILES
69266000CL0043_c56f18315ea02b6,1956.0,TUILES
69266000CM0066_7197290019f5735,1939.0,TUILES
69266000CM0138_47088c0d968283a,2012.0,INDETERMINE
69266000CN0132_26794e1b9dd7585,2001.0,TUILES
69266000CO0227_cd670d528127da2,1972.0,BETON
69268000AL0163_63f062119ddd678,2009.0,TUILES
69275000AS0596_c7609d77eb0e10c,2020.0,INDETERMINE
69275000AZ0793_dbe75c6ca01ad5c,2008.0,INDETERMINE
69278000AI0527_2f004a4b1f6ad18,1998.0,TUILES
69286000AL0231_96058d13d22ae5a,2017.0,BETON
69290000CL0147_a2924ea78f75a55,1968.0,BETON
69290000CN0001_4e3e5e650b945c4,2015.0,INDETERMINE
69290000CW0459_d377508e23c28ee,1976.0,AUTRES
69290000CW0613_713990b5a862e1b,2014.0,INDETERMINE
69290000CW0615_8dbe44f29857295,2012.0,INDETERMINE
69290000DE0705_7a4a8c97a9aa6ce,1978.0,AUTRES
69290000DY0378_2c390c4a900e586,2016.0,INDETERMINE
69290000EH0231_669fb3036ee5985,2018.0,INDETERMINE
69290000EH0232_ab948fe65e7b52d,2018.0,INDETERMINE
69290000EH0233_55ffeb510358182,2018.0,INDETERMINE
69293000AE0433_a594a574ebc2102,2010.0,INDETERMINE
69294000AO0041_5896f7210aba3ad,1990.0,TUILES
69381000AB0031_2361d07ab590c69,,
69381000AB0026_860b15937a1679c,1840.0,TUILES
69381000AD0034_fadd5c29ef45152,1820.0,TUILES
69381000AP0098_13f9d93a2824f97,1800.0,TUILES
69381000AP0013_e1e663804e2daf5,1890.0,TUILES
69381000AR0142_7ffcf25c4208e5e,1650.0,TUILES
69381000AS0060_9a783bbfe3665ea,1880.0,TUILES
69384000AC0092_6a4bb71a036bc2e,,
69381000AT0107_4fec2fbc349c610,1810.0,TUILES
69381000AV0034_1d8f133447491d3,1996.0,INDETERMINE
69382000AL0015_a2a63f70c0bfc49,,INDETERMINE
