personne_id,siren,denomination,batiment_groupe_id
69PBDD5G,U22415539,SCI FJR   SCP,69290000CL0147_a2924ea78f75a55
69PBDGFN,U22523459,PLACEMENT IMMOBILIER LYONNAIS 72,69266000BE0086_1f94bc8264a9475
69PBDJDB,U22466216,SCI SIMPA,69149000AK0004_c71328ffa49df35
69PBDL8F,352634158,JYRT,69204000BW0228_5815ed57c376b4d
69PBDLP4,350684254,LES CHATS TER ET TONNE,69266000BS0086_afc970e5bc50e34
69PBDM5S,216902049,COMMUNE DE SAINT GENIS LAVAL,69204000AS0206_7c22a10c5cfffc3
69PBDM7C,353291784,EMILE ET PIERRE,69266000BL0067_6a92afbb49191ce
69PBDMJV,U22472307,SCI DE LA POSTE,69266000CL0095_5d84fa03624a790
69PBDPNV,382882025,LE PAVILLON,69266000CM0066_7197290019f5735
69PBDRXK,U23752609,SYNDICAT COPRO RES LE TULIPIER,69244000AO0155_202826a02fbff92
69PBDS36,399296862,SAVE,69266000BE0170_5edd6dd5493d811
69PBDT8F,399087220,SOCIETE DU DEPOT DE SAINT PRIEST,69290000DT0027_19cefac7de1abc7
69PBDVJS,403246085,ERDANI,69149000AL0033_0805a021178bf50
69PBDVLC,U22425788,SCI G B F,69202000AY0240_8932c028aae8897
69PBDVR9,348983560,TWENTY,69266000BE0089_392b154505f1bd9
69PBDZ2Z,U22378188,SYNDICAT DES COPROPRIETAIRES LES HTES BAROLLES,69204000CE0024_ac811938812d852
69PBF258,442325536,CAP 2015,69264000AB0277_b7e088bf38df304
69PBF49Z,449498922,FONCIERE DI 01 2004,69204000AT0263_ab6d0d6e766839d
69PBF4FW,448336693,SCI BURDEAU,69264000AC0648_79b038fde4d63ef
69PBF557,332758960,JYPE,69264000AL0073_9938081e467cb96
69PBF59B,443959572,SAPHIMAX SCI,69264000AK0028_9ce67c8e671ce60
69PBF5DL,451370605,CLOS DES MARRONNIERS,69264000AH0452_35e96a2ea960b9f
69PBF5HX,481717775,ASSELAIN,69264000AN0413_aad267c33b1ffbb
69PBF5T5,485143564,PASTEPHONIE,69264000AL0336_d47ef4ddf13ca43
69PBF5TX,384692653,DE LA BELLE CORDIERE,69264000AK0350_2cfb9c23f446464
69PBF6LS,343425914,DEJEAN,69264000AC0703_0e547125d786325
69PBF6SW,490079860,AJM,69264000AK0071_9e72701dd966f37
69PBF85R,342528965,C C S M,69024000AC0093_10a83519016e6a7
69PBFBBH,448548354,JUCAP'IMM,69202000AD0260_81b902857d5f17a
69PBFCWL,438626723,SCI FONCIERE DE DEVELOPPEMENT URBAIN LYONNAIS,69152000AL0477_86fc07438a50e59
69PBFDKV,451467955,SIC BERNOY IMMOBILIER,69266000BN0086_edb411d396b890d
69PBFDZ3,444266555,KAUFMAN AND BROAD PROMOTION 4,69089000BK0028_1f56cfcd405c97d
69PBFFB6,420490682,CARBALLO,69275000AT0005_2c3bf9dee5eac12
69PBFJ3R,487448250,LJ1,69266000BL0014_da2201a47e5501f
69PBFJ55,483626651,CANOTE,69202000AE0216_09a1f565fab273b
69PBFKQD,488488636,LESPIELLE,69089000BR0292_1ce9c6ffeef4f65
69PBFNF4,494235815,SCI DOUA - ECHINARD,69266000AI0252_85032272aa62757
69PBFNKQ,492812367,LUNA,69091000AN0227_a37c4a9e39b98ca
69PBFP35,492247119,CINQ,69266000BN0181_266b104169a3bdc
69PBFPK8,444752901,LA DAME DES CYGNES,69266000BO0075_4ed4bc5bcff9ae6
69PBFPPR,380359034,SOC FINANCIERE MINICRAR,69259000BL0045_525db71f7a295bb
69PBFR9B,487802134,FCG,69266000CL0308_de796db7c8bb62c
69PBFSK9,440264455,LMP FURIC YVES,69266000BB0340_643166ada262041
69PBFSS6,U21713282,CAISSE DE CREDIT MUTUEL DE VILLEFRANCHE,69264000AC0478_34912d7d0c6aa65
69PBFV98,U21731529,OMNIUM DE GESTION ET DE FINANCEMENT,69264000AH0051_4df1c5cb4f6afa4
69PBFVP4,U21728837,SCI DE LA RUE BOIRON,69264000AK0373_b60f0fe21be7d0c
69PBFVQG,U23746449,SCI LES FLORALIES,69264000AN0331_8d81124a8115316
69PBFVT7,U21714227,SCI DU GARET,69264000AL0159_96e69c1afdceee4
69PBFVX7,342708328,SCI DU 286 RUE DU COLLEGE,69264000AL0156_9aebe5dd2dbcfdc
69PBG275,532318383,ADAR,69266000BI0029_25aba98a64fb56a
69PBG2CC,531902567,MPM IMMO,69381000AS0052_374d0014ce3f1f2
69PBG2MZ,U14255245,SOJA,69386000AK0146_39a83179a7d0639
69PBG2Z3,533334942,SCI POULETTE,69387000BK0290_9d58857ddda7f49
69PBG2ZF,531527372,WEDDELL,69387000BY0002_5c748be7f75390b
69PBG3NM,532027596,SCI LE CHATEAU DE JOFFRAY,69382000AZ0033_bc0aaef98d44bb5
69PBG48X,533643011,LOCNY,69266000BN0131_7ef0d8c1afb5caf
69PBG4MF,534265749,S C I  HERRIANE,69383000CV0030_48da108bd56c8c0
